site,address,hours,cleaning_frequency,operated_by,
Mission Bay Park - Vacation Isle East Comfort Station,East of Model Yacht Pond and south of Paradise Point,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Dana Basin Comfort Station,Next to Dana Landing Boat Ramp,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Crown Point South Comfort Station,"Crown Point Dr/Corona Oriente Rd., 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Crown Point North Comfort Station,"Crown Point Dr/Corona Oriente Rd., 92109",24 hrs.,2x/day,City of San Diego,
Balboa Park - Balboa Drive and Juniper Street Comfort Station,"Balboa Drive and Juniper Street, 92103",24 hrs.,2x/day,City of San Diego,
Balboa Park - Morley Field Drive at Ball Fields Comfort Station,"Joe Schloss Way, 92104",24 hrs.,2x/day,City of San Diego,
Balboa Park - Morley Field near Balboa Tennis Complex,"2221 Morley Field Drive, 92104",24 hrs.,2x/day,City of San Diego,
Balboa Park - Morley Field Velodrome Comfort Station,"2516 Pershing Drive, 92104",24 hrs.,2x/day,City of San Diego,
Balboa Park - Morley Field/Bocce Ball-Jacaranda Comfort Station,"Jacaranda Place, 92104",Closed Nightly,2x/day,City of San Diego,
Balboa Park - North Pepper Grove Comfort Station,"Pepper Grove, 92101",24 hrs.,2x/day,City of San Diego,
Balboa Park - South Pepper Grove Comfort Station,"Pepper Grove, 92101",24 hrs.,2x/day,City of San Diego,
Balboa Park - Spreckles Organ Pavilion Comfort Station,"2125 Pan American Road East, 92101",24 hrs.,2x/day,City of San Diego,
Black Mountain Ranch Portable Restroom,"14700 Carmel Valley Road, 92128",24 hrs.,Daily,City of San Diego,
Cabrillo Recreation Center,"3120 Talburt St., 92106",Rec. Center Hours,Daily,City of San Diego,
Carmel Creek Comfort Station,"4260 Carmel Center Road, 92103",24 hrs.,Daily,City of San Diego,
Carmel del Mar Comfort Station,"12345 Carmel Park Drive, 92103",24 hrs.,Daily,City of San Diego,
Chollas Lake Comfort Station,"6350 College Grove Dr., 92105",Sunrise to Sunset,2x/day,City of San Diego,
Chollas Park - North Chollas Comfort Station,Chollas Station Road,Sunrise to Sunset,Daily,City of San Diego,
Civita Park Comfort Station (Lower),"7964 Civita Blvd., 92111",Sunrise to Sunset,Daily,City of San Diego,
Civita Park Comfort Station (Upper),"7964 Civita Blvd., 92111",Sunrise to Sunset,Daily,City of San Diego,
Colina del Sol Recreation Center,"4150 54th Place, 92115",Rec. Center Hours,Daily,City of San Diego,
Colina del Sol Pool,"4150 54th Place, 92115",Aquatic Center Hours,Daily,City of San Diego,
Colina del Sol Comfort Station,"4150 54th Place, 92115",24 hrs.,Daily,City of San Diego,
Golden Hill Comfort Station #2,"25th St. & Golden Hill Dr., 92102",24 hrs.,Daily,City of San Diego,
Montgomery-Waller Recreation Center,,,,City of San Diego,
Hickman Field Portable Restroom,"Pepper Grove, 92101",24 hrs.,2x/day,City of San Diego,
Spanish Landing Park West - Comfort Station - Central,"3900 N Harbor Dr, San Diego, CA 92101",6:00am - 10:30pm,,Port of San Diego,
Harbor Island Park - Comfort Station,"1875 Harbor Island Dr, San Diego, CA 92101",6:00am - 10:30pm,,Port of San Diego,
Broadway Landing - Comfort Station,"1145 N Harbor Dr, San Diego, CA 92101",24 hrs.,,Port of San Diego,
Seaport Village Restroom - East,"803 W Harbor Dr, San Diego, CA 92101",11:00am - 7:00pm,,Port of San Diego,
Tuna Harbor - G Street Mole - Comfort Station,G St and Tuna Ln Park,6:00am - 10:30pm,,Port of San Diego,
Embarcadero Marina Park North - Comfort Station,"West of Seaport Village, Foot of Marina Park Way",6:00am - 10:30pm,,Port of San Diego,
Embarcadero Marina Park South - Comfort Station,Marina Park Way,6:00am - 10:30pm,,Port of San Diego,
The Hilton,One Park Boulevard; attached to the public parking garage,,,Port of San Diego,
Fifth Avenue Landing - Comfort Station,Waterfront @ 5th,6:00am - 10:30pm,,Port of San Diego,
Ruocco Park - Comfort Station - Concession Stand,Harbor-Pacific Highway,6:00am - 10:30pm,,Port of San Diego,
Clay Neighborhood Park Portable Restrooms,"4767 Seminole Dr., 92115",24 hrs.,3x/day,City of San Diego,
Old Central Library Portable Restrooms,"9th St. and E St., 92101",24 hrs.,3x/day,City of San Diego,
Pacific Beach Library Portable Restrooms,"4275 Cass St, San Diego, CA 92109",24 hrs.,3x/day,City of San Diego,
One America Plaza,"600 West Broadway, San Diego, CA 92101",7:00am - 7:00pm,,Irvine Company,
County Waterfront Park,"Harbor Drive at West Beech Street, San Diego, CA 92101",6:00am - 10:00pm,,County of San Diego,
Neil Good Day Center,"299 17th Street, San Diego, CA 92101",6:00am - 4:00pm,,St. Vincent de Paul,
St. Vincent de Paul,"1501 Imperial Avenue, San Diego, CA 92101",24 hrs.,,St. Vincent de Paul,
The Legend,"Outfield Park 8th Avenue, San Diego, CA 92101",7:00am - Sunset. Note: Hours of operation and access may vary due to special events.,,East Village Square,
Cesar Chavez Park - Comfort Station,,6:00am - 10:30pm,,Port of San Diego,
America's Cup Harbor - Comfort Station - Shore Facility,,6:00am - 10:30pm,,Port of San Diego,
Shelter Island Shoreline Park - Comfort Station - Boat Launch Facility,,6:00am - 10:30pm,,Port of San Diego,
Shelter Island Shoreline Park - Comfort Station - Shoreline Park South,,6:00am - 10:30pm,,Port of San Diego,
Harbor Control Facility - Comfort Station - Transient Dock,,6:00am - 10:30pm,,Port of San Diego,
Spanish Landing Park West - Comfort Station - West,,6:00am - 10:30pm,,Port of San Diego,
Spanish Landing Park East - Comfort Station,,6:00am - 10:30pm,,Port of San Diego,
Embarcadero Crescent - Comfort Station,,6:00am - 10:30pm,,Port of San Diego,
Land Field Park - Comfort Station,,6:00am - 10:30pm,,Port of San Diego,
Seaport Village - Restroom - West,,11:00am - 7:00pm,,Port of San Diego,
Seaport Village - Restroom - Central,,11:00am - 7:00pm,,Port of San Diego,
Rady Shell at Jacobs Park - Restroom,,6:00am - 10:30pm,,Port of San Diego,
Broadway Pier - Restroom,,Sunrise-Sunset,,Port of San Diego,
Park Blvd & Market St,Park Blvd & Market St,6:00am - 10:00pm,,City of San Diego,
Balboa Park Golf Course - 9-Hole On-Course Restroom,"2600 Golf Course Dr., 92102",On Course Dawn to Dusk,Daily,City of San Diego,
Balboa Park Golf Course - 18-Hole On-Course Restroom #2,"2600 Golf Course Dr., 92102",On Course Dawn to Dusk,Daily,,
Chollas Lake Portable Toilet,"6350 College Grove Dr., 92105",Sunrise to Sunset,M-W-F,,
Chollas Park - North Chollas Portable Toilet,Chollas Station Road,Sunrise to Sunset,M-W-F,,
Gloria's Mesa Portable Toilet,"6350 College Grove Dr., 92105",Sunrise to Sunset,M-W-F,,
Los Peñasquitos Canyon Preserve West Staging Area Portable Toilet,4300 Sorrento Valley Blvd,Dawn to Dusk,Weekly,,
Marian Bear Park Comfort Station West,Just east of Genesee Avenue and south of State Route 52 (under freeway ramp),24 hrs.,2x/day,,
Marian Bear Park Comfort Station East,Just east of Regents Road and south of State Route 52,24 hrs.,2x/day,,
Otay Valley Regional Park Hollister Staging Area ADA Portable Toilet,"350 Hollister Street, 92154",24 hrs.,M-W-F,,
Otay Valley Regional Park Mace Street Equestian Staging Area,"210 Mace Street, Chula Vista, 91911",8:00am - 5:00pm,Daily,,
Otay Valley Regional Park Rios Staging Area ADA Portable Toilet,"1769 Rios Ave, Chla Vista 91911 but this is located with in the SD municipality",24 hrs.,M-W-F,,
Torrey Pines Golf Course - On-Course Restroom - North #1,"11480 N. Torrey Pines Rd., 92037",Dawn to Dusk,2x/day,,
Torrey Pines Golf Course - On-Course Restroom - North #2,"11480 N. Torrey Pines Rd., 92037",Dawn to Dusk,2x/day,,
Torrey Pines Golf Course - On-Course Restroom - South #1,"11480 N. Torrey Pines Rd., 92037",Dawn to Dusk,2x/day,,
Torrey Pines Golf Course - On-Course Restroom - South #2,"11480 N. Torrey Pines Rd., 92037",Dawn to Dusk,2x/day,,
Mission Trails Regional Park Barker Way (Portable Toilet),"6900 Barker Way, 92119",24 hrs.,3x/week,,
Marian Bear Park Comfort Station West of Regents,Just west of Regents Road and south of State Route 52,24 hrs.,2x/day,,
City College Campus Building A,"1313 Park Boulevard, 92101",6:00am - 5:00pm Mon-Thu,,,
1000,Morena Blvd & Tecolote Rd,"1350 Morena Blvd, San Diego, CA 92110",,,
50,Presidio Park,"4398 Taylor St, San Diego, CA 92110",,,
35,Ocean Beach Pier,"5091 Niagara Avenue, San Diego, CA 92107",,,
996,Old Town State Historic Park - Parking Lot A,"2749 Congress Street, San Diego, CA 92110",,,
994,Balboa Park - 6th Ave & Thorn St,"3241 Sixth Ave, San Diego, CA 92103",,,
995,Balboa Park - 6th Ave & Grape St,"1998 Sixth Ave, San Diego, CA 92101",,,
1006,Sports Arena Blvd - near Airport parking (2 of 2),"2652 Sports Arena Blvd, San Diego, CA 92110",,,County of San Diego
384,Saturn Blvd & Boundary Ave,"501 Saturn Blvd, San Diego, CA 92154",,,
1005,Sports Arena Blvd - near Goodwill (1 of 2),"2670 Sports Arena Blvd, San Diego, CA 92110",,,County of San Diego
1002,Cudahy Pl & Grant St,"1033 Cudahy Pl, San Diego, CA 92110",24 hrs.,,
Little Italy,805 W. Cedar St,,,City of San Diego,
Children’s Park,"326 W Harbor Dr, 92101",24 hrs.,"2x/day (morning/afternoon), afternoon as needed",City of San Diego,
NW corner @ 10th & Broadway,"1045 Ninth Avenue, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
NE corner @ Park & Broadway,"1200 Broadway, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
NE wall on 7th Ave & E Street,"707 Broadway Ave, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
NE wall on 15th Ave & F Street,"776 15th Street, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
South wall on K Street & 15th Street,"1425 K Street, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
11th/K St/Park Blvd,"315 11th Ave, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
"17th Street, midblock between Commercial St & Logan Avenue","119 17th St, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
NW corner @ 2nd Ave & Cedar,"1628 2nd Avenue, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
"North wall on F Street, midblock between 7th & 8th","732 F St, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
West wall on 19th St & Commercial Ave,"101 19th Street, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
SE corner 16th & National Ave,"1572 National Ave, San Diego CA 92101",24 hrs.,2x/day,City of San Diego,
Island Ave at 19th Street,"1845 Island Ave, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
G Street & 10th Avenue,"1009 10th Avenue, San Diego, CA 92101",24 hrs.,2x/day,City of San Diego,
UCSD Central Campus Station,"San Diego, CA 92093",,,UCSD,
UCSD Health La Jolla Station,"San Diego, CA 92037",,,UCSD,
Old Town (inside A-mart),"4009 Taylor St, San Diego, CA 92110",,,A-Mart,
12th & Imperial Transit Center (inside Mills Building),"Trolley Plaza, San Diego, CA 92101",,,Mills Building,
San Ysidro (at CBP facility and pay restrooms inside McDonald’s Building & along Rail Court),"727 E San Ysidro Blvd, San Ysidro, CA 92173",24 hrs,,,
